統一編號,公司名稱,上市,500大
12198359,中華票券金融股份有限公司,1,1
12204275,亞翔工程股份有限公司,1,0
12205020,中環股份有限公司,1,1
12206203,銘旺科技股份有限公司,1,0
12209807,南帝化學工業股份有限公司,1,1
12215548,精技電腦股份有限公司,1,0
12228473,神腦國際企業股份有限公司,1,0
12251662,基泰建設股份有限公司,1,1
12261768,台灣新光保全股份有限公司,1,0
12304443,和椿科技股份有限公司,1,0
12305479,興富發建設股份有限公司,1,1
12320400,兆赫電子股份有限公司,1,0
12341051,康舒科技股份有限公司,1,1
12362365,台通光電股份有限公司,1,0
12364770,翔耀實業股份有限公司,1,0
12373243,日勝生活科技股份有限公司,1,1
12401698,增你強股份有限公司,1,0
12403422,宏正自動科技股份有限公司,1,0
12486062,羅昇企業股份有限公司,1,0
12490306,佳世達科技股份有限公司,1,1
12508713,長榮國際股份有限公司,0,1
12514341,振樺電子股份有限公司,1,0
12516241,互盛股份有限公司,1,0
12526607,和桐化學股份有限公司,1,1
12545506,匯弘投資股份有限公司,0,1
12551801,四維航業股份有限公司,1,1
12624467,聯鈞光電股份有限公司,1,0
12636560,界霖科技股份有限公司,1,0
12676056,安馳科技股份有限公司,1,0
12702977,勝德國際研發股份有限公司,1,0
12715847,景岳生物科技股份有限公司,1,0
12738623,銘鈺精密工業股份有限公司,1,0
12800061,揚明光學股份有限公司,1,0
12800225,群創光電股份有限公司,1,1
12800294,智易科技股份有限公司,1,0
12800392,明泰科技股份有限公司,1,1
12800766,綠點高新科技股份有限公司,0,1
12800800,旭明光電股份有限公司,0,1
12858252,京鼎精密科技股份有限公司,1,0
12868358,緯創資通股份有限公司,1,1
12907747,艾笛森光電股份有限公司,1,0
12956063,閎暉實業股份有限公司,1,0
12974421,亞諾法生技股份有限公司,1,0
12975809,傳奇網路遊戲股份有限公司,1,0
12979925,新世紀光電股份有限公司,1,0
12999083,益通光能科技股份有限公司,0,1
13000192,事欣科技股份有限公司,1,0
13012009,鑫禾科技股份有限公司,1,0
13124428,亞普投資股份有限公司,0,1
13159100,科妍生物科技股份有限公司,1,0
14001199,福懋興業股份有限公司,1,1
14033663,巨路國際股份有限公司,1,0
14040691,中美和石油化學股份有限公司,0,1
14053007,潤泰全球股份有限公司,1,1
14057995,東聯化學股份有限公司,1,1
14067826,兆豐票券金融股份有限公司,0,1
14089976,美吾華股份有限公司,1,0
15024509,大洋塑膠工業股份有限公司,1,0
15415013,萬華企業股份有限公司,1,1
15458455,臺灣永光化學工業股份有限公司,1,1
15876227,友尚股份有限公司,0,1
16003518,宏達國際電子股份有限公司,1,1
16081507,達方電子股份有限公司,1,0
16082267,力成科技股份有限公司,1,1
16089867,鵬寶科技股份有限公司,0,1
16091049,陽信商業銀行股份有限公司,0,1
16091337,永豐金租賃股份有限公司,0,1
16093877,板信商業銀行股份有限公司,0,1
16095002,統一國際開發股份有限公司,0,1
16095404,豐達科技股份有限公司(原宏達),1,0
16095410,台北金融大樓股份有限公司,0,1
16096804,南亞電路板股份有限公司,1,1
16096852,和平電力股份有限公司,0,1
16097775,長榮航太科技股份有限公司,0,1
16130009,頎邦科技股份有限公司,0,1
16130042,南茂科技股份有限公司,1,1
16130161,台灣神隆股份有限公司,1,1
16130182,五鼎生物技術股份有限公司,1,0
16130280,晶豪科技股份有限公司,1,0
16130330,盛群半導體股份有限公司,1,0
16130388,嘉晶電子股份有限公司,1,0
16130417,虹冠電子工業股份有限公司,1,0
16138282,合晶科技股份有限公司,0,1
16144475,互億科技股份有限公司,1,0
16198345,台虹科技股份有限公司,1,0
16229261,利勤實業股份有限公司,1,0
16242320,居易科技股份有限公司,1,0
16253228,天瀚科技股份有限公司,1,0
16264908,總太地產開發股份有限公司,1,0
16294733,勁永國際股份有限公司,1,0
16299879,創意電子股份有限公司,1,0
16302558,奇偶科技股份有限公司,1,0
16347324,台郡科技股份有限公司,1,0
16428796,聚碩科技股份有限公司,1,0
16432742,凌巨科技股份有限公司,1,1
16433242,聚鼎科技股份有限公司,1,0
16434734,華毓投資股份有限公司,0,1
16434853,宜華國際股份有限公司,0,1
16436466,金門酒廠實業股份有限公司,0,1
16439169,力特光電科技股份有限公司,1,0
16441411,華瑋投資股份有限公司,0,1
16441480,華旭投資股份有限公司,0,1
16446274,台灣高速鐵路股份有限公司,1,1
16450500,瀚宇彩晶股份有限公司,1,1
16450993,理想大地股份有限公司,0,1
16549778,明基材料股份有限公司,1,0
16550923,富鼎先進電子股份有限公司,1,0
